paper_id,paper_or_discovery,field_or_platform,origin_country,origin_country_iso3,beneficiary_country,beneficiary_country_iso3,beneficiary_role,value_capture_channel,scenario,enabled_market_revenue_usd,paper_attribution_factor,country_capture_share,country_revenue_capture_usd,role_margin,country_profit_proxy_usd,value_type,estimate_basis,confidence,evidence_urls,notes,assumption_status,partial_country_benefit_layer
50,Attention Is All You Need,Transformers / foundation models,United States,USA,China,CHN,cloud_compute,Foundation models; AI apps; cloud inference; data centers; enterprise productivity tools,base,,,0.25,,,,value_added,"Stanford AI Index reports China leads AI publications, citations and patent grants, while the US leads notable model development; China is therefore a major beneficiary but not sole capturer.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"US firms, Taiwan semiconductor manufacturing, Korea memory, and global cloud ecosystems capture large shares too.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
50,Attention Is All You Need,Transformers / foundation models,United States,USA,China,CHN,cloud_compute,Foundation models; AI apps; cloud inference; data centers; enterprise productivity tools,high,,,0.4,,,,value_added,"Stanford AI Index reports China leads AI publications, citations and patent grants, while the US leads notable model development; China is therefore a major beneficiary but not sole capturer.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"US firms, Taiwan semiconductor manufacturing, Korea memory, and global cloud ecosystems capture large shares too.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
51,BERT: pre-training of deep bidirectional transformers for language understanding,BERT / pretrained language models,United States,USA,China,CHN,cloud_compute,NLP products; search/recommendation; enterprise AI; cloud AI APIs,low,,,0.15,,,,value_added,"BERT is part of the transformer/NLP platform; Stanford AI Index reports China leads in AI publications, citations and patent grants, supporting substantial China benefit through NLP deployment.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"Value capture is shared across US, China, Europe, India, Japan, Korea and global cloud/software providers.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
51,BERT: pre-training of deep bidirectional transformers for language understanding,BERT / pretrained language models,United States,USA,China,CHN,cloud_compute,NLP products; search/recommendation; enterprise AI; cloud AI APIs,base,,,0.25,,,,value_added,"BERT is part of the transformer/NLP platform; Stanford AI Index reports China leads in AI publications, citations and patent grants, supporting substantial China benefit through NLP deployment.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"Value capture is shared across US, China, Europe, India, Japan, Korea and global cloud/software providers.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
51,BERT: pre-training of deep bidirectional transformers for language understanding,BERT / pretrained language models,United States,USA,China,CHN,cloud_compute,NLP products; search/recommendation; enterprise AI; cloud AI APIs,high,,,0.4,,,,value_added,"BERT is part of the transformer/NLP platform; Stanford AI Index reports China leads in AI publications, citations and patent grants, supporting substantial China benefit through NLP deployment.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"Value capture is shared across US, China, Europe, India, Japan, Korea and global cloud/software providers.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
53,Colloidal semiconductor nanocrystals / quantum dots paper family,Quantum dots / QD displays and nanomaterials,United States,USA,China,CHN,manufacturing,Display manufacturing; materials; device assembly; export markets,low,,,0.15,,,,value_added,"Quantum dots are a display-materials platform; global quantum-dot display market forecasts are multi-billion-dollar, and China has a major display manufacturing ecosystem.",Medium,https://www.factmr.com/report/4424/quantum-dot-display-market; https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea, Japan, US and Taiwan-linked firms also capture display/material value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
53,Colloidal semiconductor nanocrystals / quantum dots paper family,Quantum dots / QD displays and nanomaterials,United States,USA,China,CHN,manufacturing,Display manufacturing; materials; device assembly; export markets,base,,,0.3,,,,value_added,"Quantum dots are a display-materials platform; global quantum-dot display market forecasts are multi-billion-dollar, and China has a major display manufacturing ecosystem.",Medium,https://www.factmr.com/report/4424/quantum-dot-display-market; https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea, Japan, US and Taiwan-linked firms also capture display/material value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
53,Colloidal semiconductor nanocrystals / quantum dots paper family,Quantum dots / QD displays and nanomaterials,United States,USA,China,CHN,manufacturing,Display manufacturing; materials; device assembly; export markets,high,,,0.45,,,,value_added,"Quantum dots are a display-materials platform; global quantum-dot display market forecasts are multi-billion-dollar, and China has a major display manufacturing ecosystem.",Medium,https://www.factmr.com/report/4424/quantum-dot-display-market; https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea, Japan, US and Taiwan-linked firms also capture display/material value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
54,ROS: an open-source Robot Operating System,Robot Operating System / ROS,United States,USA,China,CHN,manufacturing,Robotics deployment; integrators; manufacturing automation; open-source software adoption,low,,,0.2,,,,value_added,IFR reports China represented 54% of global industrial-robot deployments in 2024 and Chinese manufacturers held 57% of the domestic market.,Medium,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,ROS is open-source; benefit is mainly productivity and ecosystem enablement rather than direct licensing.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
54,ROS: an open-source Robot Operating System,Robot Operating System / ROS,United States,USA,China,CHN,manufacturing,Robotics deployment; integrators; manufacturing automation; open-source software adoption,base,,,0.35,,,,value_added,IFR reports China represented 54% of global industrial-robot deployments in 2024 and Chinese manufacturers held 57% of the domestic market.,Medium,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,ROS is open-source; benefit is mainly productivity and ecosystem enablement rather than direct licensing.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
54,ROS: an open-source Robot Operating System,Robot Operating System / ROS,United States,USA,China,CHN,manufacturing,Robotics deployment; integrators; manufacturing automation; open-source software adoption,high,,,0.55,,,,value_added,IFR reports China represented 54% of global industrial-robot deployments in 2024 and Chinese manufacturers held 57% of the domestic market.,Medium,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,ROS is open-source; benefit is mainly productivity and ecosystem enablement rather than direct licensing.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
55,Probabilistic SLAM / simultaneous localization and mapping paper family,SLAM / autonomous robotics,Germany; United States,DEU; USA,China,CHN,adoption_market,Robot deployment; drones; warehouse automation; vehicle/robot perception; mapping,low,,,0.2,,,,value_added,SLAM is a core autonomy method; IFR reports China is the largest industrial-robot market with 54% of deployments in 2024 and over 2 million robots in operation.,Medium,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"Autonomous-vehicle, drone and logistics shares require additional product-level validation.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
55,Probabilistic SLAM / simultaneous localization and mapping paper family,SLAM / autonomous robotics,Germany; United States,DEU; USA,China,CHN,adoption_market,Robot deployment; drones; warehouse automation; vehicle/robot perception; mapping,base,,,0.35,,,,value_added,SLAM is a core autonomy method; IFR reports China is the largest industrial-robot market with 54% of deployments in 2024 and over 2 million robots in operation.,Medium,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"Autonomous-vehicle, drone and logistics shares require additional product-level validation.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
55,Probabilistic SLAM / simultaneous localization and mapping paper family,SLAM / autonomous robotics,Germany; United States,DEU; USA,China,CHN,adoption_market,Robot deployment; drones; warehouse automation; vehicle/robot perception; mapping,high,,,0.55,,,,value_added,SLAM is a core autonomy method; IFR reports China is the largest industrial-robot market with 54% of deployments in 2024 and over 2 million robots in operation.,Medium,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"Autonomous-vehicle, drone and logistics shares require additional product-level validation.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
57,Denoising diffusion probabilistic models,Diffusion generative models,United States,USA,China,CHN,cloud_compute,AI apps; cloud inference; model deployment; creative tools; e-commerce content generation,low,,,0.1,,,,value_added,Diffusion models are part of generative AI; Stanford AI Index reports China has broad AI research/patent leadership but the US leads in notable model development.,Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,Revenue is strongly shared with US cloud/platform firms and global AI application companies.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
57,Denoising diffusion probabilistic models,Diffusion generative models,United States,USA,China,CHN,cloud_compute,AI apps; cloud inference; model deployment; creative tools; e-commerce content generation,base,,,0.2,,,,value_added,Diffusion models are part of generative AI; Stanford AI Index reports China has broad AI research/patent leadership but the US leads in notable model development.,Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,Revenue is strongly shared with US cloud/platform firms and global AI application companies.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
57,Denoising diffusion probabilistic models,Diffusion generative models,United States,USA,China,CHN,cloud_compute,AI apps; cloud inference; model deployment; creative tools; e-commerce content generation,high,,,0.35,,,,value_added,Diffusion models are part of generative AI; Stanford AI Index reports China has broad AI research/patent leadership but the US leads in notable model development.,Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,Revenue is strongly shared with US cloud/platform firms and global AI application companies.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
59,Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search,Deep reinforcement learning / game AI,United Kingdom,GBR,China,CHN,adoption_market,AI talent/research; robotics; automation; optimization systems,low,,,0.1,,,,value_added,"Deep RL/AlphaGo catalyzed AI interest and research; Stanford AI Index reports China leads in AI research outputs, and IFR reports China leads industrial robot deployment.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Commercial revenue is less direct than transformers or batteries; treat as a soft platform-benefit estimate.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
59,Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search,Deep reinforcement learning / game AI,United Kingdom,GBR,China,CHN,adoption_market,AI talent/research; robotics; automation; optimization systems,base,,,0.2,,,,value_added,"Deep RL/AlphaGo catalyzed AI interest and research; Stanford AI Index reports China leads in AI research outputs, and IFR reports China leads industrial robot deployment.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Commercial revenue is less direct than transformers or batteries; treat as a soft platform-benefit estimate.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
59,Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search,Deep reinforcement learning / game AI,United Kingdom,GBR,China,CHN,adoption_market,AI talent/research; robotics; automation; optimization systems,high,,,0.35,,,,value_added,"Deep RL/AlphaGo catalyzed AI interest and research; Stanford AI Index reports China leads in AI research outputs, and IFR reports China leads industrial robot deployment.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Commercial revenue is less direct than transformers or batteries; treat as a soft platform-benefit estimate.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
